,U0,U0,U1,U1,G_{1/2},G_{1/2}
,h,q,h,q,h,q
330,1.8803876919180476,2.173443199359213,1.8740054929914418,2.3991677821811592,-0.184906248318375,-0.03294872830770501
540,1.8972630050177146,2.8022439751453403,1.8357118691803516,2.649961211603134,-0.002131233487913775,0.7639105073179948
570,1.9143856982827747,2.9646653188124463,1.8519631931933365,2.800158219507988,0.007438535114205891,0.8170766809742531
900,2.1261037434407446,4.933663488006533,2.0995114267316066,4.9783515307572594,-0.05468880130536746,0.4574896753938873
960,2.084997130892045,4.758677001344427,2.082600276073144,4.966738036106922,-0.14837638612911785,-0.20996000800385417
1320,1.714302560196959,2.9736835688651,1.732485031068205,3.2280368703162896,-0.15128756666836596,-0.454205071559187
1410,1.6391632206619413,2.651167248676065,1.6569131817725566,2.8699264783635385,-0.11300077060122904,-0.39827051336563457
1500,1.592095674707394,2.478259629147571,1.595767502553888,2.5690540358655585,0.3015756964629168,-1.2674933818773404
1560,1.9211594940574466,4.564651918291009,1.6532430561840645,2.59960884683888,1.603195083324643,-0.28020933152066263
1590,2.032166786165378,5.331430212282578,1.9281318148047952,3.526997529526304,2.3369010987127132,3.601848958100625
1800,2.36050460456667,3.33675867933244,2.3944798404608294,3.5416114127674323,-0.2173013349782158,-0.20850445835212383
1830,2.3488128326583944,3.167769612503229,2.3630841394050948,3.4348801406406957,-0.22087509089826174,-0.17192835047180566
2580,2.2006197931092815,4.425689560146485,2.1328843237514277,4.229929367891896,0.10186713741837661,1.6323766053169635
2790,2.078012315848731,4.082777546037089,2.073694369349154,4.280646928300924,-0.1585502678657349,-0.18569215557160135
2880,2.013843346908125,3.848731181601788,2.0113554281444346,4.0453756015740705,-0.15503070131809737,-0.19701576911895557
3000,1.9313120882381094,3.5500691287870505,1.9299731440221377,3.7374615303097407,-0.1460664984960789,-0.18106852549793828
3060,1.8918477470314468,3.4097790113982094,1.8908316771558678,3.591407138571552,-0.14107478273625373,-0.16892613193094874
3240,1.7816158371379438,3.0304949534933456,1.780891295076257,3.192717057605062,-0.12593655369156664,-0.12896924552780575
3360,1.8106263616074352,3.37921142106907,1.7266746909193385,3.034105311860504,-0.021007760688025012,0.4485397414798271
